poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,yes,no,alternate_answers
84611,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,9.0,,11/5/23,11/7/23,,"",,185163,1500,a,,a,,11/8/23 09:34,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_vaQYxHN.pdf,"",false,,38.0,50.0,12.0
84611,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,9.0,,11/5/23,11/7/23,,"",,185164,1313,rv,,rv,,11/8/23 09:34,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Vow57W6.pdf,"",false,,43.0,49.0,8.0
84513,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,9.0,,10/28/23,10/31/23,,"",,184346,1500,a,,a,,11/1/23 10:23,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_cIQloVR.pdf,"",false,,35.0,48.0,16.0
84513,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,9.0,,10/28/23,10/31/23,,"",,184347,1333,rv,,rv,,11/1/23 10:23,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_bpzPgoE.pdf,"",false,,40.0,50.0,10.0
84487,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,9.0,,10/21/23,10/24/23,,"",,184175,1500,a,,a,,10/25/23 10:56,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_WzgzhWp.pdf,"",false,,33.0,52.0,14.0
84487,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,9.0,,10/21/23,10/24/23,,"",,184176,1296,rv,,rv,,10/25/23 10:56,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_WzgzhWp.pdf,"",false,,36.0,55.0,9.0
84446,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,9.0,,10/14/23,10/17/23,,"",,183790,1500,a,,a,,10/18/23 11:07,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_3WmN9jD.pdf,"",false,,38.0,47.0,15.0
84446,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,9.0,,10/14/23,10/17/23,,"",,183791,1296,rv,,rv,,10/18/23 11:07,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_uXN5Bmo.pdf,"",false,,41.0,50.0,9.0
84373,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,,10/8/23,10/10/23,,"",,183431,1500,a,,a,,10/11/23 10:13,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_8o4rs21.pdf,"",false,,37.0,48.0,14.0
84373,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,,10/8/23,10/10/23,,"",,183432,1319,rv,,rv,,10/11/23 10:13,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_8o4rs21.pdf,"",false,,42.0,49.0,9.0
84306,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,,9/30/23,10/3/23,,"",,182733,1500,a,,a,,10/4/23 10:26,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_ZHdSXzq.pdf,"",false,,38.0,49.0,14.0
84306,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,,9/30/23,10/3/23,,"",,182734,1368,rv,,rv,,10/4/23 10:26,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ZYxhZlV.pdf,"",false,,44.0,49.0,7.0
84250,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,,9/23/23,9/26/23,,"",,182285,1500,a,,a,,9/27/23 09:49,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_RTVZfCv.pdf,"",false,,37.0,50.0,13.0
84250,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,,9/23/23,9/26/23,,"",,182286,1293,rv,,rv,,9/27/23 09:49,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_wyX9VrC.pdf,"",false,,37.0,55.0,8.0
84308,1075,Marquette Law School,"","",Marquette University Law School,195,Marquette University Law School,A/B,Probability Panel,,,9/18/23,9/25/23,,"",,182738,1007,a,,a,,10/4/23 10:28,"",https://law.marquette.edu/poll/2023/10/04/detailed-results-of-the-marquette-law-school-supreme-court-poll-september-18-25-2023/,"",false,,43.0,57.0,0
84308,1075,Marquette Law School,"","",Marquette University Law School,195,Marquette University Law School,A/B,Probability Panel,,,9/18/23,9/25/23,,"",,183081,868,rv,,rv,,10/5/23 10:02,"",https://law.marquette.edu/poll/wp-content/uploads/2023/10/MLSPSC16ToplinesRV.html,"",false,,44.0,56.0,0
84308,1075,Marquette Law School,"","",Marquette University Law School,195,Marquette University Law School,A/B,Probability Panel,,,9/18/23,9/25/23,,"",,183085,690,lv,,lv,,10/5/23 10:02,"",https://law.marquette.edu/poll/wp-content/uploads/2023/10/MLSPSC16ToplinesLV.html,"",false,,46.0,54.0,0
84248,169,Gallup,"","",Gallup,112,Gallup,B+,Live Phone,,,9/1/23,9/23/23,,"",,182461,1016,a,,a,,9/28/23 15:42,"",https://news.gallup.com/poll/511820/views-supreme-court-remain-near-record-lows.aspx,"",false,,41.0,58.0,2.0
84192,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,,9/17/23,9/19/23,,"",,181882,1500,a,,a,,9/20/23 11:38,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_Os7FqGN.pdf,"",false,,38.0,50.0,12.0
84192,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,,9/17/23,9/19/23,,"",,181883,1303,rv,,rv,,9/20/23 11:38,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_xf4D6qH.pdf,"",false,,41.0,51.0,8.0
84136,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,,9/10/23,9/12/23,,"",,181356,1500,a,,a,,9/13/23 09:54,"",https://docs.cdn.yougov.com/0d5jmcbf98/econtoplines.pdf,"",false,,36.0,48.0,16.0
84136,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,,9/10/23,9/12/23,,"",,181357,1334,rv,,rv,,9/13/23 09:54,"",https://docs.cdn.yougov.com/xttgobsv8q/econTabReport.pdf,"",false,,39.0,53.0,9.0
